Date;Time UTC;Latitude;Longitude;Depth;Depth Type;Magnitude Type;Magnitude;Region Name;Last Update;Eqid;
2016-04-18;10:38:44;42.45;26.10;1; ;ML;2.9;BULGARIA;2016-04-18 13:11;501495;
2016-04-18;07:39:37;42.35;26.13;2;f;ML;2.4;BULGARIA;2016-04-18 11:30;501456;
2016-04-18;06:46:14;42.49;26.04;2;f;ML;4.3;BULGARIA;2016-04-18 11:25;501428;
2016-04-13;18:04:09;41.80;23.23;1; ;ML;2.0;BULGARIA;2016-04-17 13:48;500835;
2016-04-12;14:01:08;41.93;26.81;5; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-04-12 14:10;500222;
2016-04-08;13:21:13;41.61;24.37;8;f;ML;2.6;BULGARIA;2016-04-08 14:26;499331;
2016-04-01;19:51:11;42.50;25.78;5; ;ML;3.3;BULGARIA;2016-04-03 01:20;497972;
2016-04-01;19:46:08;42.58;25.73;14; ;ML;2.7;BULGARIA;2016-04-03 01:19;497975;
2016-04-01;19:29:53;42.58;25.73;14; ;ML;2.7;BULGARIA;2016-04-03 01:18;497977;
2016-03-31;09:29:21;41.79;23.53;3; ;ML;2.0;BULGARIA;2016-04-04 16:22;498472;
2016-03-27;17:06:06;42.14;23.57;2; ;ML;2.9;BULGARIA;2016-03-28 11:33;496841;
2016-03-27;05:04:05;41.81;26.63;10; ;ML;3.0;BULGARIA-GREECE-TURKEY BORDER RG;2016-03-27 16:46;496742;
2016-03-21;21:19:50;43.59;28.50;6; ;ML;2.5;BULGARIA;2016-03-21 22:15;495820;
2016-03-09;14:10:10;41.97;26.91;6; ;ML;2.1;BULGARIA-GREECE-TURKEY BORDER RG;2016-03-09 14:23;493168;
2016-03-04;00:12:46;43.68;28.46;2; ;ML;2.9;BULGARIA;2016-03-04 07:44;492200;
2016-02-29;20:28:11;41.93;23.23;2; ;ML;2.6;BULGARIA;2016-03-01 07:33;491558;
2016-02-12;23:04:54;41.91;25.03;6; ;ML;2.0;BULGARIA;2016-02-15 11:42;488527;
2016-02-09;13:30:26;41.78;23.50;11; ;ML;2.0;BULGARIA;2016-02-09 14:16;487582;
2016-02-05;14:44:25;41.86;24.80;5; ;ML;3.0;BULGARIA;2016-02-05 15:53;486791;
2016-01-12;09:14:42;41.69;24.16;8; ;ML;2.4;BULGARIA;2016-01-13 10:55;481856;
2015-12-15;16:16:13;41.95;26.83;6; ;ML;2.0;BULGARIA-GREECE-TURKEY BORDER RG;2015-12-15 17:21;476825;
2015-12-13;14:04:35;41.72;24.20;5; ;ML;2.6;BULGARIA;2015-12-13 19:21;476448;
2015-12-04;07:01:11;41.89;23.21;1; ;ML;2.3;BULGARIA;2015-12-04 08:49;474425;
2015-12-01;09:28:21;41.55;25.01;10; ;ML;2.5;BULGARIA;2015-12-02 07:46;473738;
2015-11-24;03:35:36;41.69;24.11;2; ;ML;2.7;BULGARIA;2015-11-24 08:00;472156;
2015-11-21;06:13:53;41.69;25.46;2; ;ML;2.9;BULGARIA;2015-11-21 09:36;471527;
2015-11-14;20:44:11;43.42;27.24;5; ;ML;3.1;BULGARIA;2015-11-15 11:48;470012;
2015-10-29;03:49:11;41.76;24.23;10;f;ML;2.4;BULGARIA;2015-10-29 07:54;467147;
2015-10-28;17:29:48;41.50;24.02;10; ;ML;2.1;BULGARIA;2015-10-29 13:20;467060;
2015-10-22;04:34:33;41.66;23.82;2; ;ML;2.7;BULGARIA;2015-10-22 10:54;465937;
2015-10-21;05:04:53;41.48;24.01;9; ;ML;2.0;BULGARIA;2015-10-21 07:16;465760;
2015-10-21;04:30:45;41.51;24.01;12; ;ML;2.2;BULGARIA;2015-10-21 07:02;465754;
2015-10-21;04:20:34;41.60;24.00;10; ;ML;2.9;BULGARIA;2015-10-21 06:54;465749;
2015-10-21;00:46:58;41.60;23.98;12; ;ML;2.3;BULGARIA;2015-10-21 06:52;465718;
2015-10-20;22:40:28;41.60;24.00;10;f;ML;3.5;BULGARIA;2015-10-21 06:49;465694;
2015-10-18;19:33:19;41.47;23.97;10;f;ML;2.8;BULGARIA;2015-10-18 21:25;465293;
2015-10-17;08:34:43;41.57;23.79;10; ;ML;2.0;BULGARIA;2015-10-17 09:20;465051;
2015-10-16;17:54:34;41.95;23.09;2; ;ML;2.6;BULGARIA;2015-10-17 13:39;464936;
2015-10-15;16:49:16;41.68;23.82;8; ;ML;2.5;BULGARIA;2015-10-15 17:05;464735;
2015-10-12;21:31:59;41.85;23.14;5;f;ML;2.9;BULGARIA;2015-10-13 06:57;464277;
2015-10-10;20:13:18;41.55;24.03;8; ;ML;2.5;BULGARIA;2015-10-12 07:26;463955;
2015-10-10;19:04:26;41.59;23.94;2; ;ML;2.9;BULGARIA;2015-10-12 07:25;463949;
2015-10-10;17:06:51;41.66;23.83;2; ;ML;2.7;BULGARIA;2015-10-12 07:23;463938;
2015-10-05;00:40:12;42.77;23.71;13; ;ML;3.1;BULGARIA;2015-10-05 07:26;463077;
2015-09-12;07:08:20;41.90;23.18;2; ;ML;2.4;BULGARIA;2015-09-13 06:44;458926;
2015-08-27;20:05:55;43.37;24.19;5; ;ML;2.3;BULGARIA;2015-08-28 04:30;456607;
2015-08-17;23:18:56;41.84;23.21;4; ;ML;2.0;BULGARIA;2015-10-30 08:22;467302;
2015-08-16;21:36:59;41.56;23.72;12; ;ML;2.1;BULGARIA;2015-08-17 11:10;455141;
2015-08-15;10:32:11;41.84;22.96;8; ;ML;2.1;BULGARIA;2015-08-25 12:38;456179;
2015-07-31;04:54:20;42.07;25.21;1; ;ML;2.1;BULGARIA;2015-09-08 15:54;458342;
2015-07-30;09:32:25;42.15;24.76;15;f;ML;3.0;BULGARIA;2015-07-30 11:23;452814;
2015-07-27;16:34:34;42.11;25.15;2; ;ML;2.3;BULGARIA;2015-07-28 11:27;452463;
2015-07-16;10:13:04;42.64;26.34;1; ;ML;2.9;BULGARIA;2015-07-16 11:13;450877;
2015-07-16;03:33:44;41.96;23.19;10;f;ML;3.0;BULGARIA;2015-07-16 06:52;450841;
2015-07-10;00:06:19;41.46;23.17;5; ;ML;2.9;BULGARIA;2015-07-10 06:47;450076;
2015-07-07;12:15:07;41.68;24.31;2; ;ML;2.6;BULGARIA;2015-07-07 13:44;449740;
